failure_cause,analysis_decision
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Piston cooling jet (PCJ), Sealing of main oil gallery, Leakage crankcase (outside), Assembly process / Design for assembly (alignment, bolted joint)) exactly matches retrieved context data with identical product, subsystem, system element, function, failure mode and failure cause."
Bolted joint design,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Piston cooling jet (PCJ), Function: Sealing of main oil gallery, Failure Mode: Leakage crankcase (outside), Failure Cause: Bolted joint design) exactly matches retrieved context data entries, allowing direct use of provided preventive and detective measures without modification."
Crankcase design,"EXACT_MATCH as the target system context matches exactly with retrieved data on product, subsystem, system element, function, failure mode and failure cause."
Geometry tolerances,"EXACT_MATCH because the retrieved context data includes multiple entries for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Sealing of main oil gallery', Failure Mode 'Leakage crankcase (outside)' and Failure Cause 'Geometry tolerances' exactly matching the provided target system context. Therefore, only preventive and detective measures found in this exact match context are used for generation."
"Incorrect maintenance activity (alignment, bolted joint)","EXACT_MATCH: The target system context exactly matches multiple retrieved context entries with the same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage crankcase (outside)), and Failure Cause (Incorrect maintenance activity (alignment, bolted joint)). Therefore, only the preventive and detective measures directly related to this exact failure cause and mode are used."
Not machined to spec,"EXACT_MATCH because the retrieved context data exactly matches the target system context for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Sealing of main oil gallery', Failure Mode 'Leakage crankcase (outside)', and Failure Cause 'Not machined to spec'. Preventive and detective measures retrieved are directly applicable without any modification."
Nozzle holder,"EXACT_MATCH: The retrieved data matches exactly the target system context with identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage crankcase (outside)), and failure cause (Nozzle holder). Therefore, only the retrieved measures corresponding to this exact context are used for generation."
O-Ring design,"EXACT_MATCH because the target system context matches exactly with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Piston cooling jet (PCJ)', Function 'Sealing of main oil gallery', Failure Mode 'Leakage crankcase (outside)', and Failure Cause 'O-Ring design'. Measures are directly available from the retrieved data relevant to this exact context."
"Assembly process / Design for assembly (alignment, bolted joint)","EXACT_MATCH: The retrieved context data contains exact matches for the target system context including same product (Gas Engine Type 4), subsystem (Engine Block), system element (Piston cooling jet (PCJ)), function (Sealing of main oil gallery), failure mode (Leakage crankcase (outside) over time), and failure cause (Assembly process / Design for assembly (alignment, bolted joint)). Therefore, only the provided measures for this exact context are used without extrapolation."
Bolted joint design,"EXACT_MATCH based on exact matching context across Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Piston cooling jet (PCJ)), Function (Sealing of main oil gallery), Failure Mode (Leakage crankcase (outside) over time) and Failure Cause (Bolted joint design). The retrieved context provides specific preventive and detective measures targeted exactly for this failure cause and mode in the specified system element and subsystem in the same product."
